id,question,expectedCategory,expectedTone,expectedBehavior,actualCategory,actualTone,toneCorrect,categoryCorrect,response,rating,feedback,runAt,status
qa-1771969000169,I'm the grandmother raising my grandchild with Down syndrome. I don't have legal guardianship yet — can I still get RC services and attend IEP meetings?,navigation,collaborative,Must address the guardianship nuance — educational rights holder vs legal guardian. Explain that caregivers CAN access services. Warm and practical. Should mention how to become educational rights holder.,navigation,collaborative,YES,YES,"{""success"":true,""category"":""navigation"",""urgency"":""medium"",""emotional_state"":""stressed"",""needs_action"":true,""tone_level"":""collaborative"",""empathy"":""It's wonderful that you're stepping up to raise your grandchild — many grandparents are doing exactly what you're doing, and both Regional Center and schools work with family situations like yours all the time."",""clarifying_question"":null,""answer"":""Yes, you can access both RC services and participate in IEP meetings even without formal guardianship, as long as the parent consents or you have some caregiving authority. Regional Center of the East Bay works with many kinship families. For the IEP, schools typically allow grandparents who are primary caregivers to participate fully if the legal parent provides written consent or if you have an educational rights holder designation. For Regional Center intake, they'll want to know the family's living and caregiving situation — bring whatever documentation you have (school enrollment showing your address, medical records, any informal caregiver agreements)."",""action_steps"":[{""step"":1,""action"":""Contact Regional Center of the East Bay to start intake"",""who"":""Call (510) 618-6100 or visit their website to request an intake appointment"",""timeline"":""This week — intake can take several weeks to schedule"",""script"":""Hi, I'm calling to start the intake process for my grandchild who has Down syndrome. I'm the primary caregiver but don't have formal guardianship yet. Can you walk me through what documentation I'll need for the intake appointment?""},{""step"":2,""action"":""Get written consent from the legal parent for IEP participation"",""who"":""Ask your grandchild's parent to sign a simple letter or email the school"",""timeline"":""Before the next IEP meeting"",""script"":""Example letter the parent can send to the school: 'I give permission for [grandmother's name] to participate fully in all IEP meetings and educational decisions for [child's name]. She is the primary caregiver and has my full consent to act on my behalf.'""},{""step"":3,""action"":""Consider consulting with a family law attorney about guardianship options"",""who"":""Legal Aid Society of Alameda County or Bay Area Legal Aid offers free/low-cost help"",""timeline"":""Within the next month — not urgent but helpful long-term"",""script"":""I'm raising my grandchild and want to understand my options for legal guardianship or caregiver authorization to make things easier with schools and services.""}],""rights_reminder"":null,""watch_out"":""Some medical providers and insurance companies may require more formal authority (like guardianship or a Caregiver Authorization Affidavit under CA Family Code §6550) to consent to treatment or make coverage decisions. The school and Regional Center are more flexible, but it's worth exploring guardianship sooner rather than later to avoid barriers down the road."",""offer_to_draft"":""I can draft a simple consent letter template that the parent can sign and send to the school, giving you full authority to participate in IEP meetings and make educational decisions. This will make it clear to the school that you have permission to act on the parent's behalf."",""draft_type"":""general"",""sources"":[]}",,,2026-02-24T21:50:40.162Z,tested
qa-1771969000729,We're a foster family and our foster child has autism. DCFS is involved. Can we request RC services or does the bio parent have to?,regional-center,collaborative,Must navigate foster care + RC eligibility carefully. Foster parents CAN request services. Should mention surrogate parent rights for IEP. Sensitive to the complexity.,regional-center,collaborative,YES,YES,"{""success"":true,""category"":""regional-center"",""urgency"":""medium"",""emotional_state"":""calm"",""needs_action"":true,""tone_level"":""collaborative"",""empathy"":""Navigating Regional Center services for a foster child can feel confusing, especially with DCFS involved. The good news is you absolutely can — and should — initiate this process."",""clarifying_question"":null,""answer"":""As the foster parent, you have the legal authority to request Regional Center services for your foster child without needing the biological parent's involvement. DCFS has placed the child in your care, which gives you the right to access services on their behalf. Regional Center of the East Bay works regularly with foster families and understands this arrangement. You can self-refer directly — no doctor referral needed, and you don't need to wait for DCFS or the bio parent to initiate."",""action_steps"":[{""step"":1,""action"":""Call Regional Center of the East Bay's intake line"",""who"":""RCEB Intake Department at (510) 618-6100"",""timeline"":""This week"",""script"":""Hi, I'm a foster parent for a child with autism who's in DCFS care. I'd like to start the intake process for Regional Center services. The child is [age] and has an autism diagnosis. What information do you need from me to begin?""},{""step"":2,""action"":""Gather documentation to bring to intake"",""who"":""Collect diagnosis records, IEP if available, and DCFS placement paperwork"",""timeline"":""Before your intake appointment"",""script"":null},{""step"":3,""action"":""Inform the child's DCFS social worker"",""who"":""Email or call the assigned social worker"",""timeline"":""After scheduling intake"",""script"":""Hi, I wanted to let you know I've started the Regional Center intake process for [child's name]. I scheduled an appointment for [date]. I'm the authorized caregiver so I can initiate this, but wanted to keep you in the loop. Let me know if you need any information from me.""}],""rights_reminder"":null,""watch_out"":""Make sure you have documentation showing you're the authorized foster placement — RC will want to confirm you have the authority to make service decisions. Your DCFS placement paperwork should be sufficient."",""offer_to_draft"":""If you'd like, I can help you draft an email to RCEB's intake department to formally request services and explain the foster care situation. This can sometimes speed up the process compared to just calling."",""draft_type"":""rc_request"",""sources"":[]}",,,2026-02-24T21:51:02.884Z,tested
qa-1771969000947,"My child's doctor says we need a neuropsych eval but I don't know if insurance, the school, or RC should do it",navigation,collaborative,"Tests whether ""neuropsych eval"" triggers insurance or IEP. Correct answer: all three are options with different pros/cons. Should lay out the options clearly without legal jargon.",navigation,collaborative,YES,YES,"{""success"":true,""category"":""navigation"",""urgency"":""medium"",""emotional_state"":""calm"",""needs_action"":true,""tone_level"":""collaborative"",""empathy"":""This is such a common point of confusion — you're asking exactly the right question. The good news is you have options, and we can figure out the best path for Teddy."",""clarifying_question"":""To give you the most helpful guidance — what's the main reason the doctor is recommending this evaluation? Is it to understand Teddy's learning needs at school, to help guide therapy services, or for a specific concern like tracking progress or ruling something out?"",""answer"":""The answer depends on WHY you need the evaluation. If it's to understand Teddy's educational needs or determine appropriate supports at school, the school district should do it — and they must do it for free under IDEA. If it's to guide Regional Center services or therapy goals, RC can fund it. Insurance (your private plan through work) should cover neuropsych evals when medically necessary — meaning the doctor believes it's needed to diagnose, treat, or rule out a condition. Often the fastest path is: request it through school for educational purposes AND submit to insurance for medical purposes. They serve different goals and you can pursue both simultaneously."",""action_steps"":[{""step"":1,""action"":""Request a school evaluation in writing"",""who"":""Email your school's Special Education Director (and copy the principal)"",""timeline"":""This week"",""script"":""Hi [name], I'm requesting a comprehensive special education evaluation for Teddy, including a psychoeducational assessment. Our doctor has recommended a neuropsych evaluation to better understand his learning needs. Please send me the Assessment Plan within 15 days as required. Thank you.""},{""step"":2,""action"":""Check if insurance will cover it"",""who"":""Call your private insurance customer service number on the back of your card"",""timeline"":""Within a few days"",""script"":""I need to verify coverage for a neuropsychological evaluation for my son who has autism and ADHD. His doctor says it's medically necessary. Does our plan cover this, and do we need prior authorization? What providers are in-network?""},{""step"":3,""action"":""Talk to your Regional Center Service Coordinator"",""who"":""Email or call your SC at Regional Center of the East Bay"",""timeline"":""After you hear back from school and insurance"",""script"":""We're exploring options for a neuropsych eval for Teddy. The school is doing an educational assessment, and I'm checking with insurance. If there are gaps in what they cover, can RC help fund this evaluation? What would that process look like?""}],""rights_reminder"":""Under IDEA, if you request a school evaluation, the district has 15 calendar days to give you an Assessment Plan. Once you sign it, they have 60 calendar days to complete the evaluation."",""watch_out"":""Don't wait for one system to say no before trying the others — you can pursue all three at the same time. The school eval will focus on educational needs, while a privately conducted neuropsych (through insurance or RC) may go deeper. Also, if insurance approves it, you'll likely have a copay, but RC can sometimes help cover that cost."",""offer_to_draft"":""Once you decide which route to pursue first, I can help you draft the formal evaluation request to the school or a letter to your insurance if they deny coverage."",""draft_type"":""iep_email"",""sources"":[""IDEA 20 USC §1414"",""CA Ed Code §56321 (school evaluation rights)"",""CA Ed Code §56043 (15-day Assessment Plan timeline)""]}",,,2026-02-24T21:51:31.933Z,tested
qa-1771969001175,Is Self-Determination worth it? Our RC coordinator says it's a lot of paperwork,regional-center,collaborative,"Should explain SDP pros and cons honestly — more control but more admin work. Should NOT dismiss the coordinator's concern. Balanced, practical guidance.",regional-center,collaborative,YES,YES,"{""success"":true,""category"":""regional-center"",""urgency"":""low"",""emotional_state"":""calm"",""needs_action"":false,""tone_level"":""collaborative"",""empathy"":""It's smart to weigh whether Self-Determination is right for your family — the coordinator is being honest that it does involve more administrative work on your end."",""clarifying_question"":null,""answer"":""Self-Determination gives you control over a personalized budget and the ability to hire your own providers (including family members in some cases), but you become the employer — handling payroll, timesheets, and receipts. For families at RCEB who want flexibility to choose unique services or non-vendor providers, it can be powerful. But if you're happy with your current traditional services, there's no requirement to switch. Ask your coordinator: what specific paperwork would I be responsible for, and is there an FMS (Financial Management Service) available to handle the payroll side?"",""action_steps"":[{""step"":1,""action"":""Ask your RCEB service coordinator for details about the administrative tasks"",""who"":""Your service coordinator at Regional Center of the East Bay"",""timeline"":""This week, by email or phone"",""script"":""I'm interested in learning more about Self-Determination, but I want to understand the time commitment. Can you walk me through what paperwork I'd be responsible for month-to-month? Also, does RCEB work with an FMS that could handle payroll and compliance?""},{""step"":2,""action"":""Ask what services you currently receive that might be easier or harder to manage under SDP"",""who"":""Your service coordinator"",""timeline"":""Same conversation"",""script"":""Looking at Teddy's current IPP services, which ones would transition smoothly to Self-Determination, and which might be more complicated to manage myself?""},{""step"":3,""action"":""Research whether an FMS (Financial Management Service) is available to reduce your administrative burden"",""who"":""Check RCEB's website or ask your SC for a list of FMS providers"",""timeline"":""Before making a decision"",""script"":""Can you connect me with families at RCEB who are using Self-Determination? I'd love to hear about their experience with the paperwork and whether they use an FMS.""}],""rights_reminder"":null,""watch_out"":""Once you're in Self-Determination, you have a fixed budget and can't easily access traditional vendor services without switching back — which can take months. Make sure you're comfortable with the provider hiring and management responsibilities before making the change."",""offer_to_draft"":""If you decide to move forward and want to formally request Self-Determination enrollment, I can draft that email to your RCEB service coordinator with the key points to include."",""draft_type"":""rc_request"",""sources"":[]}",,,2026-02-24T21:51:58.172Z,tested
qa-1771969001391,I paid out of pocket for ABA for 3 months while waiting for RC to find a vendor. Can I get reimbursed even though it wasn't pre-authorized?,regional-center,assertive,"Non-pre-authorized retroactive reimbursement — this is the hard case. Should explain that it IS possible but difficult. Must ask if they have documentation, medical necessity letters. Should NOT promise reimbursement. Should offer to draft a request letter.",regional-center,assertive,YES,YES,"{""success"":true,""category"":""regional-center"",""urgency"":""medium"",""emotional_state"":""calm"",""needs_action"":true,""tone_level"":""assertive"",""empathy"":""That's incredibly frustrating — you did what teddy needed while RC took their time finding a vendor, and now you're out thousands of dollars. That delay wasn't your fault."",""clarifying_question"":""Before I give you specific next steps, I need to know: have you already contacted your service coordinator at Regional Center of the East Bay about this reimbursement? If so, what did they say?"",""answer"":""Non-pre-authorized reimbursement is much harder than pre-authorized services, but it's not impossible. You'll need to make a strong case showing: (1) medical necessity — teddy needed ABA and couldn't wait, (2) RC's delay in finding a vendor created the gap, and (3) you acted reasonably. Document everything: the timeline of RC's vendor search, teddy's urgent behavioral needs, proof you repeatedly asked for help. Submit a reimbursement request with all documentation to your SC at RCEB, but be prepared that they may initially deny it — that's when you appeal."",""action_steps"":[{""step"":1,""action"":""Gather your documentation package"",""who"":""Collect: all emails/notes showing you asked RC for a vendor and when; receipts and proof of payment for the ABA services; clinical notes or assessments showing teddy's behavioral needs during that period; any proof that waiting would have caused regression or harm"",""timeline"":""This week"",""script"":""Create a folder (digital or physical) with everything organized by date. You're building a case that you acted reasonably because RC couldn't act fast enough.""},{""step"":2,""action"":""Submit formal reimbursement request in writing"",""who"":""Email your service coordinator at RCEB with the subject line: 'Reimbursement Request for Non-Pre-Authorized ABA Services - [teddy's name]'"",""timeline"":""Within 1 week of gathering documentation"",""script"":""Dear [SC name], I am requesting reimbursement for ABA services I paid out-of-pocket from [start date] to [end date] while waiting for RCEB to secure a vendor. During this period, [teddy] required immediate behavioral support that could not wait. I repeatedly requested assistance finding a vendor (see attached correspondence from [dates]). I am attaching receipts, clinical documentation, and a timeline showing the medical necessity and my reasonable efforts to work with RCEB. I understand this was not pre-authorized, but the delay in vendor placement created an urgent need. Please review this request and provide a written response within 15 business days. Thank you.""},{""step"":3,""action"":""If denied, request a Fair Hearing"",""who"":""File a Fair Hearing request under W&I Code §4710.5 within 60 days of the denial"",""timeline"":""Within 60 days of receiving a denial (within 10 days if you want Aid Paid Pending for other services)"",""script"":""I am requesting a Fair Hearing to appeal RCEB's denial of reimbursement for medically necessary ABA services provided to [teddy] from [dates]. The denial is unjust because RCEB's delay in securing a vendor created the gap, and [teddy's] behavioral needs could not wait without risk of regression.""}],""rights_reminder"":""RC is required to provide services in the IPP in a timely manner (§4646). If their delay in finding a vendor caused you to pay out-of-pocket for a necessary service, that strengthens your reimbursement case — but you'll likely need to appeal to make it happen."",""watch_out"":""RCEB may initially deny this because it wasn't pre-authorized. That's normal — don't give up. The appeal process is where you make your case. The key is showing you couldn't reasonably wait and that RC's delay caused the problem. Also, RCEB may argue your private insurance should have covered it — be ready to show you exhausted insurance options first."",""offer_to_draft"":""I can help you draft the reimbursement request email to your service coordinator, including exactly what to say and what documentation to attach. I can also draft the Fair Hearing request if it comes to that."",""draft_type"":""rc_request"",""sources"":[""W&I Code §4646 (IPP services must be provided)"",""W&I Code §4710.5 (Fair Hearing rights)""]}",,,2026-02-24T21:52:31.905Z,tested
qa-1771969001764,My RC approved respite but the vendor is charging more than RC will reimburse. Am I stuck paying the difference?,regional-center,collaborative,"Common vendor rate gap issue. Should explain POS rates, suggest asking RC for a rate exception or different vendor. Stay collaborative. Clarify if this is a vendored vs non-vendored provider.",regional-center,assertive,NO,YES,"{""success"":true,""category"":""regional-center"",""urgency"":""medium"",""emotional_state"":""stressed"",""needs_action"":true,""tone_level"":""assertive"",""empathy"":""It's incredibly frustrating to get approval for a service only to discover there's a gap between what RC will pay and what the vendor charges. You shouldn't have to pay out-of-pocket for an RC-authorized service."",""clarifying_question"":""Before I give you the best next steps, I need to know: Did Regional Center of the East Bay pre-authorize this specific vendor at a specific rate, or did they just approve respite hours generally? And have you already talked to your service coordinator about this rate mismatch?"",""answer"":""This is a rate negotiation issue, not something you should absorb personally. If RC approved the service, they need to either pay the vendor's rate or help you find a vendor within their rate structure. Your SC should be working this out — either by negotiating with the vendor, adjusting the authorization, or finding an alternative provider. Don't assume you're stuck with the bill until you've pushed back."",""action_steps"":[{""step"":1,""action"":""Email your service coordinator immediately"",""who"":""Your SC at Regional Center of the East Bay"",""timeline"":""Today or tomorrow"",""script"":""Hi [SC name], I have a question about the respite authorization for Teddy. The vendor we're working with ([vendor name]) is charging $[amount]/hour, but I understand RC's reimbursement rate is $[amount]/hour. Can you help me understand how this gap gets resolved? I want to make sure I'm not expected to pay the difference out-of-pocket for an RC-authorized service. Can we discuss either adjusting the rate or finding an alternative provider? Thanks, [Your name]""},{""step"":2,""action"":""Ask for the rate to be put in writing"",""who"":""Service coordinator"",""timeline"":""During your conversation or follow-up email"",""script"":""Can you send me written confirmation of the authorized rate for respite? I want to make sure the vendor and I are on the same page about what RC will reimburse.""},{""step"":3,""action"":""If SC says you're responsible for the difference, escalate"",""who"":""SC's supervisor at RCEB"",""timeline"":""Within 3-5 business days if SC doesn't resolve"",""script"":""I'm following up on a respite authorization issue. My understanding is that when RC authorizes a service, they're responsible for ensuring it's funded at a rate that allows the service to be delivered. I'd like to discuss how we can resolve the rate gap without me paying out-of-pocket. Can we schedule a call this week?""}],""rights_reminder"":""Under the Lanterman Act, when RC authorizes a service in your IPP, they are responsible for ensuring that service is available and funded. You should not be paying out-of-pocket for RC-authorized services (W&I Code §4646, §4648)."",""watch_out"":""Some vendors aren't contracted with RC and charge private rates. If RC approved respite but didn't specify this vendor or agree to their rate, that's an authorization problem — not your financial responsibility. Make sure the authorization and the vendor rate match BEFORE services begin."",""offer_to_draft"":""I can draft the email to your service coordinator laying out this issue clearly and requesting resolution. Would that be helpful?"",""draft_type"":""rc_request"",""sources"":[""W&I Code §4646"",""W&I Code §4648""]}",,,2026-02-24T21:52:59.299Z,tested
qa-1771969002014,"My 17-year-old has an IEP and gets RC services. She turns 18 in 6 months. What do I need to do about conservatorship, SSI, and making sure her services continue?",transitions,collaborative,"Three-part transition question. Should address: (1) conservatorship alternatives (supported decision-making first), (2) SSI application at 18 when deeming stops, (3) RC continues lifelong. Well-organized, not overwhelming.",transitions,collaborative,YES,YES,"{""success"":true,""category"":""transitions"",""urgency"":""medium"",""emotional_state"":""calm"",""needs_action"":true,""tone_level"":""collaborative"",""empathy"":""Turning 18 is a major milestone, and you're smart to plan ahead. Six months gives you enough time to handle the important decisions and paperwork without rushing."",""clarifying_question"":null,""answer"":""You have three main areas to coordinate: legal decision-making (conservatorship vs. alternatives), financial support (SSI application), and service continuation (RC and IEP transition). The good news: RC services continue automatically under the Lanterman Act — there's no age cutoff. Your daughter's IEP should already include transition planning since she's 17. The two time-sensitive pieces are the conservatorship process (3-4 months) and SSI application (apply 3-4 months before her 18th birthday for benefits to start on time)."",""action_steps"":[{""step"":1,""action"":""Decide on conservatorship vs. supported decision-making"",""who"":""Consult with Disability Rights CA (1-800-776-5746) or a disability attorney for free guidance"",""timeline"":""Start now — you need 3-4 months for court process if you pursue conservatorship"",""script"":""Hi, my daughter turns 18 in 6 months. I'd like to understand the difference between limited conservatorship and supported decision-making, and which might be right for our family.""},{""step"":2,""action"":""Apply for SSI (Supplemental Security Income)"",""who"":""Call Social Security at 1-800-772-1213 to schedule an appointment"",""timeline"":""Apply 3-4 months before her 18th birthday (so start within the next 2 months)"",""script"":""I'd like to apply for SSI for my daughter who turns 18 on [date]. She has an IEP and receives Regional Center services. What documents do I need to bring?""},{""step"":3,""action"":""Request an IEP meeting to review her transition plan"",""who"":""Email her IEP case manager"",""timeline"":""Within the next month"",""script"":""Hi [name], my daughter turns 18 in 6 months. I'd like to schedule an IEP meeting to review her transition plan, discuss transfer of educational rights at 18, and confirm her services and goals are appropriate as she moves into adulthood.""},{""step"":4,""action"":""Confirm RC services will continue and update her IPP for adult services"",""who"":""Email your service coordinator at Regional Center of the East Bay"",""timeline"":""Before her 18th birthday"",""script"":""Hi [SC name], my daughter turns 18 on [date]. I want to confirm her Regional Center services will continue and schedule an IPP meeting to review any changes needed for adult services. Also, can you send me information about conservatorship and how it affects her RC services?""},{""step"":5,""action"":""Set up a CalABLE account for financial planning"",""who"":""Visit calable.ca.gov to open an account"",""timeline"":""After SSI approval"",""script"":""N/A — this is done online. CalABLE lets her save money without losing SSI eligibility.""}],""rights_reminder"":""Under the Lanterman Act, Regional Center services continue into adulthood — there's no aging out. Your daughter remains eligible for services as long as she has a qualifying developmental disability."",""watch_out"":""At age 18, educational rights transfer to your daughter unless you establish conservatorship or she signs an Educational Rights Holder designation. Discuss this at the IEP meeting — she can choose to keep you involved in decisions even without conservatorship."",""offer_to_draft"":""I can help you draft the email to request an IEP meeting focused on transition planning and transfer of rights, or the email to your RC service coordinator about continuing services into adulthood. Just let me know which would be most helpful."",""draft_type"":""iep_email"",""sources"":[]}",,,2026-02-24T21:53:27.066Z,tested
qa-1771969002226,We just moved to California from Texas. My child had an IEP and was receiving ABA through Medicaid there. How do we transfer everything?,navigation,collaborative,"Interstate transfer scenario. Should explain: (1) 30-day IEP transfer rule, (2) new RC intake needed, (3) Medi-Cal application, (4) insurance re-enrollment. Practical first steps.",navigation,collaborative,YES,YES,"{""success"":true,""category"":""navigation"",""urgency"":""medium"",""emotional_state"":""calm"",""needs_action"":true,""tone_level"":""collaborative"",""empathy"":""Moving states with a child who has services in place is stressful — you're doing the right thing by figuring this out early. The good news: California has strong systems, and your child's services will continue."",""clarifying_question"":null,""answer"":""You'll need to work with two separate systems: your new school district for the IEP, and your Regional Center (Regional Center of the East Bay) for ABA services. The IEP process moves fairly quickly — the school must hold a meeting within 30 days of enrollment. ABA is trickier because California's system works differently than Texas Medicaid, but once you're enrolled with your Regional Center, they'll help coordinate."",""action_steps"":[{""step"":1,""action"":""Enroll your child in their new school and provide the Texas IEP"",""who"":""Contact the front office of your neighborhood school"",""timeline"":""This week"",""script"":""Hi, we just moved from Texas and my child has an IEP. I'd like to enroll them and get the IEP transfer process started. Can you tell me who handles special education enrollment?""},{""step"":2,""action"":""Request an IEP team meeting to adopt or revise the Texas IEP"",""who"":""The school's special education coordinator (they'll assign one when you enroll)"",""timeline"":""School must meet within 30 days of enrollment"",""script"":""I'd like to schedule an IEP meeting as soon as possible. My child had [specific services] in Texas, and I want to make sure those continue here.""},{""step"":3,""action"":""Contact Regional Center of the East Bay to intake for ABA and other services"",""who"":""Call RCEB at (510) 383-1200"",""timeline"":""This week — intake can take 4-6 weeks"",""script"":""My child has autism and ADHD and was receiving ABA services through Medicaid in Texas. We just moved to California and need to get enrolled with the Regional Center.""},{""step"":4,""action"":""If your child was on Medicaid in Texas, apply for Medi-Cal in California"",""who"":""Apply online at BenefitsCal.com or call (877) 410-8827"",""timeline"":""Within first 30 days"",""script"":""We just moved from Texas where my child had Medicaid. I need to apply for Medi-Cal.""}],""rights_reminder"":null,""watch_out"":""Don't assume ABA will start immediately — the Regional Center intake and authorization process can take 1-2 months. If your child's ABA is medically necessary and can't wait, ask RCEB about interim services while you're being assessed. Also: keep all records from Texas (IEP, ABA progress notes, medical evaluations) — you'll need them for both the school and Regional Center."",""offer_to_draft"":""I can draft an email to your new school requesting the IEP transfer meeting, or an email to RCEB explaining your child's needs and requesting intake. Let me know which would be most helpful."",""draft_type"":""general"",""sources"":[]}",,,2026-02-24T21:53:54.417Z,tested
qa-1771969002478,RC isn't giving us what we need,regional-center,assertive,Intentionally vague — engine MUST ask clarifying questions. What service? What happened? What have they tried? Should NOT give specific legal advice without knowing the situation.,regional-center,assertive,YES,YES,"{""success"":true,""category"":""regional-center"",""urgency"":""medium"",""emotional_state"":""stressed"",""needs_action"":true,""tone_level"":""assertive"",""empathy"":""I hear you — it's incredibly frustrating when Regional Center isn't providing what your child needs. You're not alone in this, and there are specific steps we can take."",""clarifying_question"":""Before I suggest the best path forward, can you tell me: Have you already asked Regional Center of the East Bay for these services (by phone, email, or at an IPP meeting)? And did they formally deny anything in writing, or have they just not responded or been slow to act?"",""answer"":""Your next steps depend on whether this is a formal denial, a delay, or services that haven't been requested yet in your IPP. If you've asked and been denied, you have appeal rights. If they're stalling or you haven't gotten a clear answer, we need to create a paper trail and escalate within the system. Either way, you shouldn't have to settle for less than what Teddy needs."",""action_steps"":[{""step"":1,""action"":""Email your service coordinator at RCEB with a specific list of services you're requesting"",""who"":""Your assigned service coordinator at Regional Center of the East Bay"",""timeline"":""Within 2 business days"",""script"":""Hi [SC name], I wanted to follow up on services for Teddy. We need [be specific: e.g., increased ABA hours, respite care, behavioral support]. Can you let me know the process for adding these to his IPP and when we can schedule a meeting to discuss? Please respond within 5 business days. Thank you.""},{""step"":2,""action"":""If no response in 5 business days, or if they say no, request an IPP meeting in writing"",""who"":""Same service coordinator, CC their supervisor"",""timeline"":""Immediately after 5-day window"",""script"":""I am formally requesting an IPP meeting to discuss services for Teddy. Under the Lanterman Act, RCEB must schedule this within 30 days of my request. Please confirm the meeting date within 3 business days.""},{""step"":3,""action"":""Document everything — save all emails, take notes on phone calls with dates/times"",""who"":""You"",""timeline"":""Starting now"",""script"":null}],""rights_reminder"":""Under W&I Code §4646, you can request an IPP meeting at any time, and Regional Center must hold it within 30 days. The IPP is your contract — if services aren't in writing in the IPP, they don't have to provide them."",""watch_out"":""Don't accept vague promises like 'we'll look into it.' Get specifics in writing: what services, how many hours, start date, provider name. If they deny anything, they must send you a Notice of Action — that's what triggers your appeal rights."",""offer_to_draft"":""Once you've sent that initial email and know their response, I can help you draft a formal IPP meeting request or, if they deny services, an appeal letter. Let me know what happens and I'll write it with you."",""draft_type"":""rc_request"",""sources"":[""W&I Code §4646""]}",,,2026-02-24T21:54:20.571Z,tested
qa-1771969003257,Something is wrong with my child's school placement,iep,assertive,Very vague. Engine must ask: What type of placement? What's wrong? Has parent discussed with the IEP team? Should not jump to due process or legal options without understanding the problem.,iep,collaborative,NO,YES,"{""success"":true,""category"":""iep"",""urgency"":""medium"",""emotional_state"":""stressed"",""needs_action"":true,""tone_level"":""collaborative"",""empathy"":""It's incredibly stressful when your child's placement doesn't feel right. You know Teddy best, and if something feels off, that's worth addressing."",""clarifying_question"":""To give you the most helpful next steps, can you tell me what's not working about the current placement? For example, is Teddy not making progress, struggling with behaviors, or is the environment not meeting their needs? Also, have you already spoken with the IEP team or teacher about these concerns?"",""answer"":""Since Teddy has an active IEP, the school is legally required to provide a placement where they can make meaningful progress toward their IEP goals. If the current placement isn't working, you can request an IEP meeting to discuss changing the placement or adding supports. The key is to be specific about what's not working and what Teddy needs instead. Even before I know the details, I can tell you that placement decisions must be based on what Teddy needs to receive a Free Appropriate Public Education (FAPE), not what's most convenient for the school."",""action_steps"":[{""step"":1,""action"":""Document what's happening"",""who"":""You — keep notes"",""timeline"":""Now, before requesting a meeting"",""script"":""Write down specific examples: What behaviors or struggles are you seeing? What goals aren't being met? What supports does Teddy need that aren't happening? Be specific with dates and incidents.""},{""step"":2,""action"":""Request an IEP meeting in writing"",""who"":""Email Teddy's special education case manager and CC the school principal"",""timeline"":""This week"",""script"":""Hi [Name], I'm requesting an IEP meeting to discuss Teddy's current placement. I have concerns about whether the current setting is meeting their needs, and I'd like the team to review placement options and supports. Please let me know available dates within the next two weeks. Thank you.""},{""step"":3,""action"":""Prepare for the IEP meeting"",""who"":""You, and consider bringing an advocate or friend"",""timeline"":""Before the meeting"",""script"":""Bring your notes, Teddy's current IEP, and any outside evaluations or therapist reports. Be ready to explain what supports or placement changes you think would help Teddy succeed. Remember: you don't have to sign anything at the meeting — you can take it home to review.""}],""rights_reminder"":""Under IDEA, the IEP team (which includes you as an equal member) must determine placement based on Teddy's individual needs, not administrative convenience or cost. Placement must be reviewed at least annually, but you can request a review at any time."",""watch_out"":""Schools sometimes say 'we don't have that program' or 'we've never done that before.' That's not a legal reason to deny an appropriate placement. If Teddy needs something the school doesn't currently offer, they must provide it or fund it elsewhere."",""offer_to_draft"":""Once I understand more about what's not working, I can help you draft the email requesting the IEP meeting, or help you prepare specific questions and requests for the team. I can also help you draft a letter if the school doesn't respond or if you need to escalate after the meeting."",""draft_type"":""iep_email"",""sources"":[""IDEA §300.116 - Placements"",""CA Ed Code §56341 - IEP Team Meetings""]}",,,2026-02-24T21:54:47.080Z,tested
